node,location,time,rules,primary,downsample,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
guild,Greenland,2,minimum,false,true,11,26,0.21487603305785125,8,0.8640981534010636,3.0,4.0,2.0,3.0421284414937935,1.3618169680781096,1.0,0.0,3.0,1.0
guild,Greenland,3,minimum,true,false,21,118,0.2675736961451247,17,0.8475705968006675,2.0,1.0,3.0,5.877722266968647,3.4565328072533967,2.0,0.0,37.0,0.0
guild,Greenland,3,minimum,true,true,18,77,0.23765432098765432,16,0.8405351432274895,3.0,6.0,1.0,5.485870144455669,1.7758363582385148,4.0,2.0,6.0,8.0
guild,Greenland,3,minimum,false,false,21,118,0.2675736961451247,17,0.8475705968006675,2.0,1.0,3.0,5.877722266968647,3.4565328072533967,2.0,0.0,37.0,0.0
guild,Greenland,3,minimum,false,true,17,75,0.25951557093425603,15,0.8299089948387024,3.0,7.0,1.0,5.4778967625518895,1.769845456862398,5.0,0.0,2.0,14.0
guild,Greenland,4,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,4,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,4,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,4,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,minimum,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,minimum,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,minimum,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,minimum,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
species,Greenland,1,maximal,true,false,26,55,0.08136094674556213,11,0.9142526215783868,3.0,1.0,13.0,2.790368048511495,3.8191823530899702,2.0,0.0,172.0,0.0
species,Greenland,1,maximal,true,true,15,38,0.1688888888888889,11,0.8896093012378791,3.0,5.0,2.0,3.5023801430836525,1.4573295865416045,2.0,0.0,7.0,0.0
